534A	ban4(1143)
534E	hua2(29)
534F	xie2(150)
5351	bei1(13)
5354	xie2(150)
5355	dan1(603)
5356	mai4(479) mai5(51)
5357	nan2(749)
535A	bo2(121)
535C	bo5(25)
5360	zhan4(343)
5361	ka3(28)
5367	wo4(45)
536B	wei4(340)
5370	yin4(300)
5371	wei1(308)
5373	ji2(511)
5374	que4(1157)
5375	luan3(87)
5377	juan3(115) juan4(14)
5378	xie4(28)
537B	que4(1157)
5382	chang3(731)
5385	ting1(59)
5386	li4(819)
5389	li4(146)
538B	ya1(625)
538C	yan4(67)
5395	ce4(10)
5398	li2(69)
539A	hou4(202)
539F	yuan2(1701)
53A2	xiang1(18)
53A6	sha4(17)
53A8	chu2(48)
53AD	yan4(67)
53B2	li4(146)
53BB	qu4(7347)
53BF	xian4(429)
53C2	can1(525) shen1(25)
53C3	can1(525) shen1(25)
53C8	you4(4892)
53CA	ji2(721)
53CB	you5(437) you3(275)
53CC	shuang1(373)
53CD	fan3(2114)
53D1	fa1(4834) fa5(174) fa4(80)
53D4	shu1(215) shu5(153)
53D6	qu3(916)
53D7	shou4(1082)
53D8	bian4(1669)
53D9	xu4(18)
53DB	pan4(68)
53E0	die2(39)
53E2	cong2(69)
53E3	kou3(1647) kou5(74)
53E4	gu3(440)
53E5	ju4(624)
53E6	ling4(476)
53EA	zhi3(3118) zhi1(749)
53EB	jiao4(2238)
53EC	zhao4(235)
53ED	ba5(25)
53EE	ding1(38)
53EF	ke3(6054)
53F0	tai2(530)
53F2	shi3(847)
53F3	you4(490)
53F6	ye4(301)
53F7	hao4(462) hao5(16) hao2(12)
53F8	si1(309)
53F9	tan4(153)
53FC	diao1(16)
5401	xu1(20) yu4(12)
5403	chi1(1684)
5404	ge4(1806)
5406	yao1(37)
5408	he2(1585)
5409	ji2(13)
540A	diao4(59)
540C	tong2(4634) tong5(34) tong4(17)
540D	ming2(767)
540E	hou4(4342)
5410	tu3(73) tu4(38)
5411	xiang4(2542)
5413	xia4(135)
5417	ma5(1456) ma2(93)
541B	jun1(34)
541E	tun1(30)
541F	yin2(24)
5426	fou3(230)
5427	ba5(2073)
5428	dun1(157)
5429	fen1(48)
542B	han2(320)
542C	ting1(2028) ting5(48)
542D	keng1(10)
542F	qi3(60)
5435	chao3(85)
5436	ne5(2307) na4(13)
5438	xi1(371)
5439	chui1(239)
543B	wen3(10)
543C	hou3(63)
5440	ya5(1018) ya1(398)
5443	e4(14)
5446	dai1(136)
5448	cheng2(40)
544A	gao4(995)
5450	ne5(2307) na4(13)
5457	bei5(22)
5458	yuan2(1766)
545C	wu1(11)
5462	ne5(2307) ni2(21)
5468	zhou1(396)
5473	wei4(281)
5475	a1(392) he1(64)
5478	pei1(32)
547B	shen1(13)
547C	hu1(378) hu5(107)
547D	ming4(2703)
5480	ju3(15)
5482	za1(18)
5486	pao2(19)
548B	za3(17)
548C	he2(9513) huo5(38) he5(24) he4(9)
5490	fu5(72)
5492	zhou4(11)
5495	gu5(14)
5496	ka1(9)
5499	long2(26)
549B	ning2(11)
54A6	yi2(41)
54A7	lie5(53)
54AC	yao3(166)
54B1	zan2(741) zan5(11)
54B3	hai1(46) ke2(39)
54B8	xian2(10)
54BD	yan4(29) ye4(23) yan1(9)
54C0	ai1(55)
54C1	pin3(876)
54C4	hong1(26) hong3(14)
54C6	duo1(30)
54C7	wa5(76) wa1(26)
54C8	ha1(228)
54CD	xiang3(798)
54CE	ai1(302)
54CF	gen2(56)
54D1	ya3(14)
54D7	hua1(54)
54DF	yo1(64) yo5(32)
54E1	yuan2(1766)
54E5	ge1(491) ge5(217)
54E6	o2(98) o4(98) e2(63)
54E7	chi1(35)
54E8	shao4(51)
54E9	li5(225)
54EA	na3(1138) na5(266)
54ED	ku1(373)
54EE	xiao1(19)
54F2	zhe2(217)
54FA	bu3(14)
54FC	heng1(147)
54FD	geng3(12)
5504	bei5(22)
5507	chun2(97)
5524	huan4(57) huan5(35)
552C	hu5(14)
552E	shou4(78)
552F	wei2(280)
5530	shua1(36)
5531	chang4(433)
553E	tuo4(14)
5543	ken3(17)
5544	zhuo2(12)
5546	shang1(561)
554A	a5(1102) a1(404)
554F	wen4(2838) wen5(54)
555E	ya3(14)
555F	qi3(60)
5561	fei1(9)
5564	pi2(12)
5565	sha4(109)
5566	la5(967) la1(15)
556A	pa1(49)
5578	xiao4(21)
557C	ti2(12)
557E	jiu1(32)
5582	wei4(151)
5583	nan2(26)
5584	shan4(206)
5587	la3(25)
5589	hou2(51)
558A	han3(464)
5594	o1(103)
5598	chuan3(76)
559A	huan4(57) huan5(35)
559C	xi3(459)
559D	he1(340) he5(37) he4(19)
55AA	sang4(22)
55AE	dan1(603)
55B2	yo1(64) yo5(32)
55B7	pen1(111)
55BD	lou5(46)
55C5	xiu4(14)
55CE	ma5(1456) ma2(93)
55D0	hai4(14)
